"SiteName","Date","Value","Method","parameter","Censored","CenType","X","LAWAID","ID","UsedInLAWA","AltitudeGroup","LanduseGroup","FrequencyAll","Frequency","Region","Agency","ISLAND","CatchID","CatchType","NZREACH","Catchment","Comments","LawaCatchm","CatchLbl"
"Waikohu at No. 1 Br.",2008-07-22 13:30:00,0.61,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2009-10-20 13:00:00,1.14,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2009-11-17 13:05:00,2.74,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2009-12-15 13:15:00,2.86,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2007-05-23 13:40:00,2.3,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2007-06-20 13:00:00,1.745,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2007-07-18 14:10:00,1.115,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2007-08-21 13:50:00,1.645,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2007-09-19 13:40:00,1.315,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2010-01-19 13:00:00,2.04,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2010-02-23 14:07:00,2.78,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2010-03-24 13:05:00,2.36,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2010-04-21 13:15:00,1.64,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2007-01-24 13:09:00,3.225,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2007-02-21 13:21:00,2.9,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2007-03-21 13:30:00,2.1,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2007-04-17 13:13:00,1.97,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2008-06-17 14:13:00,0.35,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2011-09-21 13:10:00,1.18,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2011-10-18 13:40:00,0.38,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2011-11-23 13:30:00,1.71,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2011-12-13 13:05:00,2.53,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2007-10-24 13:13:00,1.055,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
"Waikohu at No. 1 Br.",2007-11-21 13:02:00,2.095,"Refer NIWA","BDISC",FALSE,"FALSE",894,"NRWQN-00011","GS2","Yes","Upland","Rural","Monthly","Monthly","Gisborne","NIWA","North",37,"Parent",5013426,37,NA,1,"Waipaoa"
