"","SiteID","CouncilSiteID","LawaSiteID","SWQuality","SWQAltitude","SWQLanduse","SWQFrequencyAll","SWQFrequencyLast5","Region","Agency","Lat","Long"
"1","44603","44603","ARC-00001","Yes","Lowland","Native","Monthly","Monthly","Auckland","Auckland Council","-36.88883413","174.5220565"
"2","45313","45313","ARC-00003","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","-36.7765388","174.5604402"
"3","7830","7830","ARC-00004","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","-36.72304159","174.696142"
"4","6811","6811","ARC-00005","Yes","Lowland","Exotic","Monthly","Monthly","Auckland","Auckland Council","-36.44855751","174.6486618"
"5","6804","6804","ARC-00006","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","-36.39952481","174.6600469"
"6","6604","6604","ARC-00008","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","-36.3445107699999","174.7105353"
"7","43829","43829","ARC-00009","Yes","lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","-37.1954243299999","174.9736209"
"8","8110","8110","ARC-00010","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","-36.87500973","174.7050507"
"9","7502","7502","ARC-00011","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","-36.6851517","174.6946043"
"10","7904","7904","ARC-00013","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","-36.89506569","174.5946546"
"11","8219","8219","ARC-00014","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","-36.9668253199999","174.8457406"
"12","8214","8214","ARC-00015","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","-36.96340205","174.8806567"
"13","8205","8205","ARC-00016","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","-36.95566215","174.8907199"
"14","7811","7811","ARC-00017","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","-36.73199419","174.6947376"
"15","8217","8217","ARC-00018","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","-36.9135907199999","174.9080664"
"16","8215","8215","ARC-00019","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","-36.93350176","174.9029491"
"17","43856","43856","ARC-00021","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","-37.02798781","174.9251679"
"18","43807","43807","ARC-00022","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","-36.9927674899999","174.8703457"
"19","7506","7506","ARC-00024","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","-36.68438762","174.739454"
"20","8516","8516","ARC-00025","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","-37.0129492899999","175.053385"
"21","7104","7104","ARC-00026","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","-36.5508813999999","174.6606423"
"22","7206","7206","ARC-00027","Yes","Lowland","Native","Monthly","Monthly","Auckland","Auckland Council","-36.5784597499999","174.6577235"
"23","43601","43601","ARC-00028","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","-37.2270569999999","174.7398286"
"24","438100","438100","ARC-00029","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","-37.17048948","174.8424849"
"25","8568","8568","ARC-00030","Yes","Lowland","Native","Monthly","Monthly","Auckland","Auckland Council","-37.09236018","175.1007314"
"26","45373","45373","ARC-00031","Yes","Lowland","Exotic","Monthly","Monthly","Auckland","Auckland Council","-36.7359823599999","174.5357421"
"27","45505","45505","ARC-00033","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","-36.55759883","174.5213655"
"28","8249","8249","ARC-00034","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","-36.88050847","174.86288"
"29","45415","45415","ARC-00035","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","-36.63128225","174.5190887"
"30","8019","8019","ARC-00036","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","-36.92363334","174.6908315"
"31","1043837","1043837","ARC-00037","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","-37.00619111","174.9584109"
"32","7171","7171","ARC-00038","Yes","Lowland","Native","Monthly","Monthly","Auckland","Auckland Council","-36.5711697599999","174.6698268"
"33","74401","74401","ARC-00039","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","-36.79168448","175.0873682"
"34","74701","74701","ARC-00040","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","-36.81831942","175.0847173"
"35","45703","Hoteo","ARC-00051","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","-36.38439062","174.5098897"
"36","45415","Kaukapakapa","ARC-00057","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","-36.6305985","174.5189858"
"37","7811","Oteha","ARC-00074","Yes","Lowland","Native","Monthly","Monthly","Auckland","Auckland Council","-36.73196668","174.6947705"
"38","43807","Puhinui","ARC-00079","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","-36.9925818299999","174.8701165"
"39","7805","Rangitopuni at Walkers","ARC-00082","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","-36.73702765","174.6193882"
"40","8516","Wairoa","ARC-00090","Yes","Lowland","Exotic","Monthly","Monthly","Auckland","Auckland Council","-37.01334936","175.0531823"
"41","7206","West Hoe","ARC-00095","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","-36.5787319599999","174.6575952"
"42","Aongatete at SH2","BQ966369","EBOP-00001","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-37.6073828302249","175.941409491124"
"43","Haparapara at SH35","RN123610","EBOP-00002","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","-37.7998397579293","177.6698989117"
"44","Kaituna at Maungarangi Rd","FN834668","EBOP-00003","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-37.8384673935175","176.390192548793"
"45","Kaituna at Rotoiti Outlet","FL356693","EBOP-00007","Yes","Upland","Urban","Monthly","Monthly","Bay of Plenty","BOPRC","-38.0177585587837","176.343976823451"
"46","Kaituna at Te Matai","FO620177","EBOP-00057","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-37.7934217549296","176.363800997398"
"47","Kereru at SH35","RO629568","EBOP-00101","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","-37.7115237930874","177.721793712608"
"48","Kopurererua at SH2","DP784306","EBOP-00006","Yes","Lowland","Urban","Monthly","Monthly","Bay of Plenty","BOPRC","-37.6975746328178","176.151257931251"
"49","Kopurererua at SH29","DO406909","EBOP-00005","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-37.7344497947606","176.109995199841"
"50","Motu River at Houpoto","QM756918","EBOP-00045","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","-37.8636965795139","177.632294880597"
"51","Ngamuwahine at Old Bridge","CO543022","EBOP-00009","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-37.816784458299","176.015399445936"
"52","Ngongotaha at SH36","EL174017","EBOP-00010","Yes","Upland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-38.0823576072631","176.212205642004"
"53","Nukuhou at Glenholme Road","MK788545","EBOP-00062","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-38.0876915281408","177.139409587158"
"54","Nukuhou at Glenholme Road","MK788545","EBOP-00062","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-38.0876915281408","177.139409587158"
