"","LawaSiteID","SiteID","CouncilSiteID","SWQuality","SWQAltitude","SWQLanduse","SWQFrequencyAll","SWQFrequencyLast5","Region","Agency","ISLAND","CatchID","CatchType","TermReach","LAWA_CATCH","Comment","SOE_FW_RIV","CATCH_LBL"
"1","ARC-00001","44603","44603","Yes","Lowland","Native","Monthly","Monthly","Auckland","Auckland Council","North","515","Parent","2005849","515",NA,"1","Cascade Stream"
"2","ARC-00003","45313","45313","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","North","272","Parent","2003750","272",NA,"1","Kumeu"
"3","ARC-00004","7830","7830","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","North","866","Parent","2004574","866",NA,"1","Lucas Creek"
"4","ARC-00005","6811","6811","Yes","Lowland","Exotic","Monthly","Monthly","Auckland","Auckland Council","North","441","Parent","2001770","441",NA,"1","Mahurangi River"
"5","ARC-00006","6804","6804","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","North","441","Parent","2001770","441",NA,"1","Mahurangi River"
"6","ARC-00008","6604","6604","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","North","1057","Parent","2001404","1057",NA,"1","Matakana River"
"7","ARC-00009","43829","43829","Yes","lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","North","660","Parent","2008585","660",NA,"1","Ngakaroa Stream"
"8","ARC-00010","8110","8110","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","North","1165","Parent","2005759","1165",NA,"1","Oakley Creek"
"9","ARC-00011","7502","7502","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","North","1189","Parent","2004083","1189",NA,"1",NA
"10","ARC-00013","7904","7904","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","North","541","Parent","2005611","541",NA,"1","Opanuku Stream"
"11","ARC-00014","8219","8219","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","North","3555","Parent","2006774","3555",NA,"1","Otaki Creek"
"12","ARC-00015","8214","8214","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","North","782","Parent","2006598","782",NA,"1","Otara Creek"
"13","ARC-00016","8205","8205","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","North","782","Parent","2006598","782",NA,"1","Otara Creek"
"14","ARC-00017","7811","7811","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","North","866","Parent","2004574","866",NA,"1","Lucas Creek"
"15","ARC-00018","8217","8217","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","North","3094","Parent","2006385","1003094","Merger of NIWA Catchment 3094, 1580, 1931, 2268 and 2862","1","Pakuranga Creek"
"16","ARC-00019","8215","8215","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","North","3094","Parent","2006385","1003094","Merger of NIWA Catchment 3094, 1580, 1931, 2268 and 2862","1","Pakuranga Creek"
"17","ARC-00021","43856","43856","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","North","650","Parent","2007627","650",NA,"1","Papakura Stream"
"18","ARC-00022","43807","43807","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","North","925","Parent","2007377","925",NA,"1","Puhinui Stream"
"19","ARC-00024","7506","7506","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","North","2196","Parent","2004089","2196",NA,"1","Vaighans Stream"
"20","ARC-00025","8516","8516","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","North","275","Parent","2006693","275",NA,"1","Wairoa River"
"21","ARC-00026","7104","7104","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","North","721","Parent","2002811","721",NA,"1","Waiwera Stream"
"22","ARC-00027","7206","7206","Yes","Lowland","Native","Monthly","Monthly","Auckland","Auckland Council","North","2536","Parent","2003226","2536",NA,"1","West Hoe Stream"
"23","ARC-00028","43601","43601","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","North","968","Parent","2009665","968",NA,"1","Waitangi Stream"
"24","ARC-00029","438100","438100","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","North","878","Parent","2008607","878",NA,"1","Whangamaire Stream"
"25","ARC-00030","8568","8568","Yes","Lowland","Native","Monthly","Monthly","Auckland","Auckland Council","North","275","Parent","2006693","275",NA,"1","Wairoa River"
"26","ARC-00031","45373","45373","Yes","Lowland","Exotic","Monthly","Monthly","Auckland","Auckland Council","North","272","Parent","2003750","272",NA,"1","Kumeu"
"27","ARC-00033","45505","45505","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","North","487","Parent","2002821","487",NA,"1","Makarau River"
"28","ARC-00034","8249","8249","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","North","2301","Parent","2005837","2301",NA,"1","Omaru Creek"
"29","ARC-00035","45415","45415","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","North","403","Parent","2003669","403",NA,"1","Kaukapakapa"
"30","ARC-00036","8019","8019","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","North","1176","Parent","2006060","1176",NA,"1","Avondale Stream"
"31","ARC-00037","1043837","1043837","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","North","650","Parent","2007627","650",NA,"1","Papakura Stream"
"32","ARC-00038","7171","7171","Yes","Lowland","Native","Monthly","Monthly","Auckland","Auckland Council","North","2298","Parent","2003112","2298",NA,"1","Nukumea"
"33","ARC-00039","74401","74401","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","North","4095","Parent","2005154","4095",NA,"1","Onetangi Stream"
"34","ARC-00040","74701","74701","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","North","2738","Parent","2005487","2738",NA,"1","Waiheke Cascade Stream"
"35","ARC-00051","Hoteo","45703","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","North","228","Parent","2001886","228",NA,"1","Hoteo"
"36","ARC-00057","Kaukapakapa","45415","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","North","403","Parent","2003669","403",NA,"1","Kaukapakapa"
"37","ARC-00074","Oteha","7811","Yes","Lowland","Native","Monthly","Monthly","Auckland","Auckland Council","North","866","Parent","2004574","866",NA,"1","Lucas Creek"
"38","ARC-00079","Puhinui","43807","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","North","925","Parent","2007377","925",NA,"1","Puhinui Stream"
"39","ARC-00082","Rangitopuni at Walkers","7805","Yes","Lowland","Urban","Monthly","Monthly","Auckland","Auckland Council","North","439","Parent","2004741","439",NA,"1","Rangitopuni River"
"40","ARC-00090","Wairoa","8516","Yes","Lowland","Exotic","Monthly","Monthly","Auckland","Auckland Council","North","275","Parent","2006693","275",NA,"1","Wairoa River"
"41","ARC-00095","West Hoe","7206","Yes","Lowland","Rural","Monthly","Monthly","Auckland","Auckland Council","North","2536","Parent","2003226","2536",NA,"1","West Hoe Stream"
"42","EBOP-00001","BQ966369","Aongatete at SH2","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","489","Parent","4000484","489",NA,"1","Aongatete"
"43","EBOP-00002","RN123610","Haparapara at SH35","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","North","339","Parent","4003925","339",NA,"1","Haparapara"
"44","EBOP-00003","FN834668","Kaituna at Maungarangi Rd","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","72","Parent","4002050","72",NA,"1","Kaituna River"
"45","EBOP-00007","FL356693","Kaituna at Rotoiti Outlet","Yes","Upland","Urban","Monthly","Monthly","Bay of Plenty","BOPRC","North","72","Parent","4002050","72",NA,"1","Kaituna River"
"46","EBOP-00057","FO620177","Kaituna at Te Matai","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","72","Parent","4002050","72",NA,"1","Kaituna River"
"47","EBOP-00101","RO629568","Kereru at SH35","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","North","372","Parent","4002179","372",NA,"1","Kereu River"
"48","EBOP-00006","DP784306","Kopurererua at SH2","Yes","Lowland","Urban","Monthly","Monthly","Bay of Plenty","BOPRC","North","494","Parent","4001195","494",NA,"1","Kopurererua"
"49","EBOP-00005","DO406909","Kopurererua at SH29","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","494","Parent","4001195","494",NA,"1","Kopurererua"
"50","EBOP-00045","QM756918","Motu River at Houpoto","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","North","63","Parent","4005089","63",NA,"1","Motu River"
"51","EBOP-00009","CO543022","Ngamuwahine at Old Bridge","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","198","Parent","4001064","198",NA,"1","Wairoa River"
"52","EBOP-00010","EL174017","Ngongotaha at SH36","Yes","Upland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","72","Parent","4002050","72",NA,"1","Kaituna River"
"53","EBOP-00062","MK788545","Nukuhou at Glenholme Road","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","423","Parent","4009202","423",NA,"1","Nukuhou"
"55","EBOP-00011","MK283728","Nukuhou at Old Quarry","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","423","Parent","4009202","423",NA,"1","Nukuhou"
"56","EBOP-00012","FL230406","Ohau Channel at SH33","Yes","Upland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","North","72","Parent","4002050","72",NA,"1","Kaituna River"
"57","EBOP-00013","DO047598","Omanawa at SH29","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","198","Parent","4001064","198",NA,"1","Wairoa River"
"58","EBOP-00102","FD445529","Otamatea at Wairere Rd","Yes","Upland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","North","29","Parent","4029020","29",NA,"1","Rangitaiki River"
"59","EBOP-00014","OK300616","Otara at Browns Bridge","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","243","Parent","4008497","243",NA,"1","Otara"
"60","EBOP-00017","GN849464","Pongakawa at Old Coach Rd","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","353","Parent","4002572","353",NA,"1","Pongakawa"
"61","EBOP-00047","GM781934","Pongakawa at Pumphouse","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","North","353","Parent","4002572","353",NA,"1","Pongakawa"
"62","EBOP-00016","GN922883","Pongakawa at SH2","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","North","353","Parent","4002572","353",NA,"1","Pongakawa"
"63","EBOP-00019","EK598179","Puarenga at FRI","Yes","Upland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","North","72","Parent","4002050","72",NA,"1","Kaituna River"
"64","LAWA-100396","JI148319","Rangitaiki at Aniwhenua Canal","Yes","Lowland","Native","Quarterly","Quarterly","Bay of Plenty","BOPRC","North","29","Parent","4029020","29",NA,"1","Rangitaiki River"
"65","LAWA-100397","JK491452","Rangitaiki at Matahina Dam","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","North","29","Parent","4029020","29",NA,"1","Rangitaiki River"
"66","EBOP-00104","FC231176","Rangitaiki at SH5","Yes","Upland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","North","29","Parent","4029020","29",NA,"1","Rangitaiki River"
"67","EBOP-00049","JL350292","Rangitaiki at Te Teko","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","29","Parent","4029020","29",NA,"1","Rangitaiki River"
"68","EBOP-00048","IG265664","Rangitaiki River at Murupara","Yes","Upland","Exotic","Monthly","Monthly","Bay of Plenty","BOPRC","North","29","Parent","4029020","29",NA,"1","Rangitaiki River"
"69","EBOP-00022","SO991920","Raukokore at SH35","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","North","229","Parent","4001443","229",NA,"1","Raukokore"
"70","EBOP-00023","EP623312","Rocky Stream at Mangatawa Lane","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","714","Parent","4001230","714",NA,"1","Rocky"
"71","EBOP-00050","JM102399","Tarawera at Awakaponga","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","North","116","Parent","4005128","116",NA,"1","Tarawera River"
"72","EBOP-00024","IK564876","Tarawera at Kawerau Bridge","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","North","116","Parent","4005128","116",NA,"1","Tarawera River"
"73","EBOP-00025","IL818464","Tarawera at SH30","Yes","Lowland","Exotic","Monthly","Monthly","Bay of Plenty","BOPRC","North","116","Parent","4005128","116",NA,"1","Tarawera River"
"74","EBOP-00051","GJ662805","Tarawera River at Lake Outlet","Yes","Upland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","North","116","Parent","4005128","116",NA,"1","Tarawera River"
"75","EBOP-00103","LI953392","Tauranga at Ranger Station","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","48","Parent","4006872","48",NA,"1","Whakatane River"
"76","EBOP-00031","LK149881","Tauranga at Taneatua Bridge","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","North","48","Parent","4006872","48",NA,"1","Whakatane River"
"77","EBOP-00026","BQ711622","Te Mania at SH2","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","1219","Parent","4000427","1219",NA,"1","Te Mania"
"78","EBOP-00027","BQ708712","Te Rereatukahia at SH2","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","728","Parent","4000415","728",NA,"1","Te Rereatukahia"
"79","EBOP-00028","BR809582","Tuapiro at Hikurangi Rd","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","569","Parent","4000158","569",NA,"1","Tuapiro"
"80","EBOP-00052","BQ723939","Uretara at Henry Rd Ford","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","996","Parent","4000306","996",NA,"1","Uretara"
"81","EBOP-00030","BS961133","Waiau at Waiau Rd Ford","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","816","Parent","4000058","816",NA,"1","Waiau River (North Is)"
"82","EBOP-00033","DO688849","Waimapu 100m d/s of SH29","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","414","Parent","4001549","414",NA,"1","Waimapu"
"83","EBOP-00032","DO712717","Waimapu at Pukemapu Rd","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","414","Parent","4001549","414",NA,"1","Waimapu"
"84","EBOP-00044","NK608503","Waioeka at Gorge Mouth","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","North","112","Parent","4008681","112",NA,"1","Waioeka River"
"85","LAWA-100395","ML715056","Waiotahe at Toone Rd","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","371","Parent","4008412","371",NA,"1","Waiotahi Catchment"
"86","EBOP-00035","CP466747","Waipapa at Old Highway","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","744","Parent","4000728","744",NA,"1","Waipapa River (Tauranga)"
"87","EBOP-00037","DP281304","Wairoa at SH2","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","198","Parent","4001064","198",NA,"1","Wairoa River"
"88","EBOP-00036","CO938527","Wairoa d/s of Ruahihi Powerstation","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","North","198","Parent","4001064","198",NA,"1","Wairoa River"
"89","EBOP-00038","HN674689","Waitahanui at Otamarakau Marae","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","405","Parent","4003723","405",NA,"1","Waitahanui"
"90","EBOP-00039","EO451883","Waitao at 172 Waitao Rd","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","736","Parent","4001448","736",NA,"1","Waitao"
"91","EBOP-00040","BQ739463","Waitekohe at SH2","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","North","937","Parent","4000417","937",NA,"1","Waitekohe"
"92","EBOP-00042","KL998150","Whakatane at Pekatahi Bridge","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","North","48","Parent","4006872","48",NA,"1","Whakatane River"
"93","EBOP-00041","LK082095","Whakatane at Ruatoki","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","North","48","Parent","4006872","48",NA,"1","Whakatane River"
"94","EBOP-00053","IG619428","Whirinaki at Galatea","Yes","Upland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","North","29","Parent","4029020","29",NA,"1","Rangitaiki River"
"95","ECAN-00117","SQ10005","Omarama Stream SH8","YES","Upland","Natural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","3","Parent","13524507","3",NA,"1","Upper and Lower Waitaki Catchment"
"96","ECAN-00001","SQ10012","Willowburn Quailburn Road","YES","Upland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","3","Parent","13524507","3",NA,"1","Upper and Lower Waitaki Catchment"
"97","ECAN-00002","SQ10037","Sutherlands Creek Ben Omar Road","YES","Upland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","3","Parent","13524507","3",NA,"1","Upper and Lower Waitaki Catchment"
"98","ECAN-00003","SQ10057","Hakataramea River Cattle Creek","YES","Upland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","3","Parent","13524507","3",NA,"1","Upper and Lower Waitaki Catchment"
"99","ECAN-00118","SQ10160","Maerewhenua River SH83","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","3","Parent","13524507","3",NA,"1","Upper and Lower Waitaki Catchment"
"100","ECAN-00119","SQ10167","Otiake River Mt Bell Station","YES","Upland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","3","Parent","13524507","3",NA,"1","Upper and Lower Waitaki Catchment"
"101","ECAN-00121","SQ10174","Penticotico Stream SH83","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","3","Parent","13524507","3",NA,"1","Upper and Lower Waitaki Catchment"
"102","ECAN-00123","SQ10275","Maryburn SH8 Bridge","YES","Upland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","3","Parent","13524507","3",NA,"1","Upper and Lower Waitaki Catchment"
"103","ECAN-00124","SQ10301","Otematata River SH83","YES","Upland","Rural","Quarterly","Monthly","Canterbury","Environment Canterbury Regional Council","South","3","Parent","13524507","3",NA,"1","Upper and Lower Waitaki Catchment"
"104","ECAN-00007","SQ10804","Wairepo Creek Arm Inlet","YES","Upland","Exotic","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","3","Parent","13524507","3",NA,"1","Upper and Lower Waitaki Catchment"
"105","ECAN-00008","SQ10814","Cattle Creek Morland Settlement Road","YES","Upland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","3","Parent","13524507","3",NA,"1","Upper and Lower Waitaki Catchment"
"106","ECAN-00010","SQ10818","Deadman Stream Hakataramea Valley Road","YES","Upland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","3","Parent","13524507","3",NA,"1","Upper and Lower Waitaki Catchment"
"107","ECAN-00014","SQ20104","Ashburton River SH1","YES","Lowland","Urban","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","51","Parent","13061477","51",NA,"1","Ashburton River"
"108","ECAN-00016","SQ20106","Ashburton River North Branch Digbys Bridge","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","51","Parent","13061477","51",NA,"1","Ashburton River"
"109","ECAN-00018","SQ20107","Ashburton River South Branch Hills Road","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","51","Parent","13061477","51",NA,"1","Ashburton River"
"110","ECAN-00020","SQ20112","Ashburton River North Branch North Branch SH72 bridge","YES","Upland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","51","Parent","13061477","51",NA,"1","Ashburton River"
"111","ECAN-00181","SQ20175","Rangitata River Mouth","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","47","Parent","13063688","47",NA,"1","Rangitata River"
"112","ECAN-00025","SQ20176","Rangitata River Upstream of SH1 bridge","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","47","Parent","13063688","47",NA,"1","Rangitata River"
"113","ECAN-00026","SQ20177","Rangitata River SH72","YES","Upland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","47","Parent","13063688","47",NA,"1","Rangitata River"
"114","ECAN-00027","SQ20195","Smithfield Creek Te Awa Rd","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","35","Parent","13070002","35",NA,"1","Opihi River"
"115","ECAN-00028","SQ20199","Taumatakahu Stream Murray St","YES","Lowland","Urban","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","35","Parent","13070002","35",NA,"1","Opihi River"
"116","ECAN-00033","SQ20243","Opihi River at SH1 Bridge","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","35","Parent","13070002","35",NA,"1","Opihi River"
"117","ECAN-00034","SQ20252","Temuka River Manse Bridge","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","35","Parent","13070002","35",NA,"1","Opihi River"
"118","ECAN-00036","SQ20318","Raukapuka Creek Coach Road","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","35","Parent","13070002","35",NA,"1","Opihi River"
"119","ECAN-00038","SQ20332","Waihi River Waimarie","YES","Upland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","35","Parent","13070002","35",NA,"1","Opihi River"
"120","ECAN-00040","SQ20350","Te Ngawai River Tengawai Bridge","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","35","Parent","13070002","35",NA,"1","Opihi River"
"121","ECAN-00042","SQ20401","Saltwater Creek SH1 Bridge","YES","Lowland","Urban","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","594","Parent","13066271","594",NA,"1","Saltwater Creek Timaru"
"122","ECAN-00043","SQ20454","Pareora River at Evans Crossing","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","164","Parent","13066928","164",NA,"1","Paeora River"
"123","ECAN-00045","SQ20509","Boundary Drain Trigpole Road","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","616","Parent","13062653","616",NA,"1","Boundary Drain"
"124","ECAN-00182","SQ20541","Petries Drain Canal Road","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","1384","Parent","13064342","1384",NA,"1","Rhodes"
"125","ECAN-00046","SQ20545","Rhodes Stream Parke Road","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","1384","Parent","13064342","1384",NA,"1","Rhodes"
"126","ECAN-00047","SQ20575","Waihao River Bradshaw Bridge","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","161","Parent","13068893","161",NA,"1","Waihao"
"127","ECAN-00049","SQ20577","Waihao River McCulloch Bridge","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","161","Parent","13068893","161",NA,"1","Waihao"
"128","ECAN-10029","SQ20606","Pareora River Pareora Huts","YES","Lowland","Rural","","Monthly","Canterbury","Environment Canterbury Regional Council","South","164","Parent","13066928","164",NA,"1","Paeora River"
"129","ECAN-00050","SQ20725","Hae Hae Te Moana River at Glentohi","YES","Upland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","35","Parent","13070002","35",NA,"1","Opihi River"
"130","ECAN-00177","SQ21044","North Branch Ohapi Creek Guild Rd","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","135","Parent","13064483","135",NA,"1","Orari River"
"131","ECAN-00178","SQ21045","Ohapi Creek Guild Rd","YES","Lowland","Exotic","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","135","Parent","13064483","135",NA,"1","Orari River"
"132","ECAN-00179","SQ21046","Ohapi Creek South Branch Guild Rd","YES","Lowland","Exotic","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","South","135","Parent","13064483","135",NA,"1","Orari River"
