"SiteName","Date","Value","Method","parameter","Censored","CenType","X","LAWAID","ID","UsedInLAWA","AltitudeGroup","LanduseGroup","FrequencyAll","Frequency","Region","Agency","ISLAND","CatchID","CatchType","NZREACH","Catchment","Comments","LawaCatchm","CatchLbl"
"Brook at Burn Pl",2015-04-14 11:50:00,8.8,NA,"BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2015-12-15 13:50:00,6.5,NA,"BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2015-01-14 12:45:00,5.2,NA,"BDISC",TRUE,"Right",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2008-03-13 11:25:00,3.3,"Visual clarity using black disc","BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2016-02-16 11:05:00,5.1,NA,"BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2007-09-19 11:53:00,2.7,"Visual clarity using black disc","BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2015-09-16 12:00:00,6.2,NA,"BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2009-08-12 12:10:00,2.75,"Visual clarity using black disc","BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2016-03-15 12:00:00,7.7,NA,"BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2016-07-18 11:05:00,4,NA,"BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2014-03-26 13:05:00,9.3,"Visual clarity using black disc","BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2012-03-20 10:10:00,5.6,"Visual clarity using black disc","BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2015-02-11 11:00:00,5.9,NA,"BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2007-11-19 12:42:00,2,"Visual clarity using black disc","BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2015-03-12 11:30:00,5.6,NA,"BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2013-11-04 13:00:00,4.7,"Visual clarity using black disc","BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2016-01-13 11:15:00,6.7,NA,"BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2015-08-12 12:00:00,10.4,NA,"BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2015-10-14 11:45:00,6,NA,"BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2013-12-16 14:30:00,5.6,"Visual clarity using black disc","BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2009-05-26 13:15:00,5.1,"Visual clarity using black disc","BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2016-06-14 11:30:00,3.9,NA,"BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2008-12-10 13:00:00,2,"Visual clarity using black disc","BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
"Brook at Burn Pl",2016-05-17 11:35:00,6.1,NA,"BDISC",FALSE,"FALSE",580,"NCC-00011","Brook at Burn Pl","TRUE","Lowland","Forest","Bimonthly","Quarterly","Nelson","NCC","South",452,"Parent",10010859,452,NA,1,"Maitai River"
