"SiteName","Date","Value","Method","parameter","Censored","CenType","X","LAWAID","ID","UsedInLAWA","AltitudeGroup","LanduseGroup","FrequencyAll","Frequency","Region","Agency","ISLAND","CatchID","CatchType","NZREACH","Catchment","Comments","LawaCatchm","CatchLbl"
"Manganui at SH3",2007-06-19 11:10:00,7.2,"Refer NIWA","BDISC",FALSE,"FALSE",917,"NRWQN-00035","WA2","Yes","Upland","Rural","Monthly","Monthly","Taranaki","NIWA","North",78,"Parent",6001707,78,NA,1,"Maketawa Stream"
"Manganui at SH3",2007-04-17 11:15:00,7.43,"Refer NIWA","BDISC",FALSE,"FALSE",917,"NRWQN-00035","WA2","Yes","Upland","Rural","Monthly","Monthly","Taranaki","NIWA","North",78,"Parent",6001707,78,NA,1,"Maketawa Stream"
"Manganui at SH3",2014-09-16 11:30:00,1.95,"Refer NIWA","BDISC",FALSE,"FALSE",917,"NRWQN-00035","WA2","Yes","Upland","Rural","Monthly","Monthly","Taranaki","NIWA","North",78,"Parent",6001707,78,NA,1,"Maketawa Stream"
"Manganui at SH3",2007-01-16 10:50:00,4.8,"Refer NIWA","BDISC",FALSE,"FALSE",917,"NRWQN-00035","WA2","Yes","Upland","Rural","Monthly","Monthly","Taranaki","NIWA","North",78,"Parent",6001707,78,NA,1,"Maketawa Stream"
"Manganui at SH3",2011-06-21 11:15:00,2.43,"Refer NIWA","BDISC",FALSE,"FALSE",917,"NRWQN-00035","WA2","Yes","Upland","Rural","Monthly","Monthly","Taranaki","NIWA","North",78,"Parent",6001707,78,NA,1,"Maketawa Stream"
"Manganui at SH3",2014-08-19 10:50:00,3.81,"Refer NIWA","BDISC",FALSE,"FALSE",917,"NRWQN-00035","WA2","Yes","Upland","Rural","Monthly","Monthly","Taranaki","NIWA","North",78,"Parent",6001707,78,NA,1,"Maketawa Stream"
"Manganui at SH3",2009-04-21 11:00:00,5.6,"Refer NIWA","BDISC",FALSE,"FALSE",917,"NRWQN-00035","WA2","Yes","Upland","Rural","Monthly","Monthly","Taranaki","NIWA","North",78,"Parent",6001707,78,NA,1,"Maketawa Stream"
"Manganui at SH3",2014-11-18 10:20:00,3.17,"Refer NIWA","BDISC",FALSE,"FALSE",917,"NRWQN-00035","WA2","Yes","Upland","Rural","Monthly","Monthly","Taranaki","NIWA","North",78,"Parent",6001707,78,NA,1,"Maketawa Stream"
"Manganui at SH3",2009-05-19 11:15:00,2.49,"Refer NIWA","BDISC",FALSE,"FALSE",917,"NRWQN-00035","WA2","Yes","Upland","Rural","Monthly","Monthly","Taranaki","NIWA","North",78,"Parent",6001707,78,NA,1,"Maketawa Stream"
"Manganui at SH3",2011-04-19 11:10:00,2.82,"Refer NIWA","BDISC",FALSE,"FALSE",917,"NRWQN-00035","WA2","Yes","Upland","Rural","Monthly","Monthly","Taranaki","NIWA","North",78,"Parent",6001707,78,NA,1,"Maketawa Stream"
"Manganui at SH3",2014-07-15 11:25:00,4.61,"Refer NIWA","BDISC",FALSE,"FALSE",917,"NRWQN-00035","WA2","Yes","Upland","Rural","Monthly","Monthly","Taranaki","NIWA","North",78,"Parent",6001707,78,NA,1,"Maketawa Stream"
"Manganui at SH3",2007-05-15 11:10:00,6.6,"Refer NIWA","BDISC",FALSE,"FALSE",917,"NRWQN-00035","WA2","Yes","Upland","Rural","Monthly","Monthly","Taranaki","NIWA","North",78,"Parent",6001707,78,NA,1,"Maketawa Stream"
"Manganui at SH3",2007-02-20 11:20:00,5.02,"Refer NIWA","BDISC",FALSE,"FALSE",917,"NRWQN-00035","WA2","Yes","Upland","Rural","Monthly","Monthly","Taranaki","NIWA","North",78,"Parent",6001707,78,NA,1,"Maketawa Stream"
"Manganui at SH3",2013-07-24 11:15:00,0.51,"Refer NIWA","BDISC",FALSE,"FALSE",917,"NRWQN-00035","WA2","Yes","Upland","Rural","Monthly","Monthly","Taranaki","NIWA","North",78,"Parent",6001707,78,NA,1,"Maketawa Stream"
"Manganui at SH3",2009-03-17 11:00:00,4,"Refer NIWA","BDISC",FALSE,"FALSE",917,"NRWQN-00035","WA2","Yes","Upland","Rural","Monthly","Monthly","Taranaki","NIWA","North",78,"Parent",6001707,78,NA,1,"Maketawa Stream"
"Manganui at SH3",2011-01-18 11:15:00,3.72,"Refer NIWA","BDISC",FALSE,"FALSE",917,"NRWQN-00035","WA2","Yes","Upland","Rural","Monthly","Monthly","Taranaki","NIWA","North",78,"Parent",6001707,78,NA,1,"Maketawa Stream"
"Manganui at SH3",2007-03-20 11:00:00,6.68,"Refer NIWA","BDISC",FALSE,"FALSE",917,"NRWQN-00035","WA2","Yes","Upland","Rural","Monthly","Monthly","Taranaki","NIWA","North",78,"Parent",6001707,78,NA,1,"Maketawa Stream"
"Manganui at SH3",2014-10-21 10:00:00,4.67,"Refer NIWA","BDISC",FALSE,"FALSE",917,"NRWQN-00035","WA2","Yes","Upland","Rural","Monthly","Monthly","Taranaki","NIWA","North",78,"Parent",6001707,78,NA,1,"Maketawa Stream"
