"SiteName","Date","Value","Method","parameter","Censored","CenType","X","LAWAID","ID","UsedInLAWA","AltitudeGroup","LanduseGroup","FrequencyAll","Frequency","Region","Agency","ISLAND","CatchID","CatchType","NZREACH","Catchment","Comments","LawaCatchm","CatchLbl"
"Buller at Longford",2007-11-07 08:00:00,4.42,"Refer NIWA","BDISC",FALSE,"FALSE",919,"NRWQN-00037","NN5","Yes","Upland","Forest","Monthly","Monthly","Tasman","NIWA","South",6,"Parent",12009639,1000004,"Upper Buller split by RC boundary",1,"Upper Buller"
"Buller at Longford",2007-12-05 08:40:00,8.915,"Refer NIWA","BDISC",FALSE,"FALSE",919,"NRWQN-00037","NN5","Yes","Upland","Forest","Monthly","Monthly","Tasman","NIWA","South",6,"Parent",12009639,1000004,"Upper Buller split by RC boundary",1,"Upper Buller"
"Buller at Longford",2014-02-12 08:05:00,7.25,"Refer NIWA","BDISC",FALSE,"FALSE",919,"NRWQN-00037","NN5","Yes","Upland","Forest","Monthly","Monthly","Tasman","NIWA","South",6,"Parent",12009639,1000004,"Upper Buller split by RC boundary",1,"Upper Buller"
"Buller at Longford",2009-11-18 08:00:00,6.14,"Refer NIWA","BDISC",FALSE,"FALSE",919,"NRWQN-00037","NN5","Yes","Upland","Forest","Monthly","Monthly","Tasman","NIWA","South",6,"Parent",12009639,1000004,"Upper Buller split by RC boundary",1,"Upper Buller"
"Buller at Longford",2014-01-15 08:15:00,4.68,"Refer NIWA","BDISC",FALSE,"FALSE",919,"NRWQN-00037","NN5","Yes","Upland","Forest","Monthly","Monthly","Tasman","NIWA","South",6,"Parent",12009639,1000004,"Upper Buller split by RC boundary",1,"Upper Buller"
"Buller at Longford",2007-07-18 08:00:00,6.76,"Refer NIWA","BDISC",FALSE,"FALSE",919,"NRWQN-00037","NN5","Yes","Upland","Forest","Monthly","Monthly","Tasman","NIWA","South",6,"Parent",12009639,1000004,"Upper Buller split by RC boundary",1,"Upper Buller"
"Buller at Longford",2010-11-17 08:00:00,6.28,"Refer NIWA","BDISC",FALSE,"FALSE",919,"NRWQN-00037","NN5","Yes","Upland","Forest","Monthly","Monthly","Tasman","NIWA","South",6,"Parent",12009639,1000004,"Upper Buller split by RC boundary",1,"Upper Buller"
"Buller at Longford",2007-08-15 07:45:00,2.62,"Refer NIWA","BDISC",FALSE,"FALSE",919,"NRWQN-00037","NN5","Yes","Upland","Forest","Monthly","Monthly","Tasman","NIWA","South",6,"Parent",12009639,1000004,"Upper Buller split by RC boundary",1,"Upper Buller"
"Buller at Longford",2007-10-10 08:00:00,0.15,"Refer NIWA","BDISC",FALSE,"FALSE",919,"NRWQN-00037","NN5","Yes","Upland","Forest","Monthly","Monthly","Tasman","NIWA","South",6,"Parent",12009639,1000004,"Upper Buller split by RC boundary",1,"Upper Buller"
"Buller at Longford",2011-02-16 07:45:00,7.62,"Refer NIWA","BDISC",FALSE,"FALSE",919,"NRWQN-00037","NN5","Yes","Upland","Forest","Monthly","Monthly","Tasman","NIWA","South",6,"Parent",12009639,1000004,"Upper Buller split by RC boundary",1,"Upper Buller"
"Buller at Longford",2007-09-12 08:00:00,7.51,"Refer NIWA","BDISC",FALSE,"FALSE",919,"NRWQN-00037","NN5","Yes","Upland","Forest","Monthly","Monthly","Tasman","NIWA","South",6,"Parent",12009639,1000004,"Upper Buller split by RC boundary",1,"Upper Buller"
"Buller at Longford",2011-03-16 08:00:00,6.62,"Refer NIWA","BDISC",FALSE,"FALSE",919,"NRWQN-00037","NN5","Yes","Upland","Forest","Monthly","Monthly","Tasman","NIWA","South",6,"Parent",12009639,1000004,"Upper Buller split by RC boundary",1,"Upper Buller"
"Buller at Longford",2007-02-08 08:15:00,6.875,"Refer NIWA","BDISC",FALSE,"FALSE",919,"NRWQN-00037","NN5","Yes","Upland","Forest","Monthly","Monthly","Tasman","NIWA","South",6,"Parent",12009639,1000004,"Upper Buller split by RC boundary",1,"Upper Buller"
"Buller at Longford",2014-03-12 08:00:00,5.98,"Refer NIWA","BDISC",FALSE,"FALSE",919,"NRWQN-00037","NN5","Yes","Upland","Forest","Monthly","Monthly","Tasman","NIWA","South",6,"Parent",12009639,1000004,"Upper Buller split by RC boundary",1,"Upper Buller"
"Buller at Longford",2011-01-12 08:00:00,4.62,"Refer NIWA","BDISC",FALSE,"FALSE",919,"NRWQN-00037","NN5","Yes","Upland","Forest","Monthly","Monthly","Tasman","NIWA","South",6,"Parent",12009639,1000004,"Upper Buller split by RC boundary",1,"Upper Buller"
"Buller at Longford",2007-05-09 08:00:00,5.41,"Refer NIWA","BDISC",FALSE,"FALSE",919,"NRWQN-00037","NN5","Yes","Upland","Forest","Monthly","Monthly","Tasman","NIWA","South",6,"Parent",12009639,1000004,"Upper Buller split by RC boundary",1,"Upper Buller"
