"Location","Parameter","AltitudeGroup","LanduseGroup","Median","LAWAState","Region","Scope","StateGroup"
"1000004","BDISC","All","All","3.04",1,"Tasman","Catchment","Catchment|All"
"1000004","TURB","All","All","1.18",2,"Tasman","Catchment","Catchment|All"
"1000004","NH4","All","All","0.002",1,"Tasman","Catchment","Catchment|All"
"1000004","TON","All","All","0.037",1,"Tasman","Catchment","Catchment|All"
"1000004","TN","All","All","0.106",1,"Tasman","Catchment","Catchment|All"
"1000004","DRP","All","All","0.001",1,"Tasman","Catchment","Catchment|All"
"1000004","TP","All","All","0.005",1,"Tasman","Catchment","Catchment|All"
"1000004","ECOLI","All","All","35",1,"Tasman","Catchment","Catchment|All"
"1000004","BDISC","Upland","All","3.04",2,"Tasman","Catchment","Catchment|Upland"
"1000004","TURB","Upland","All","1.18",2,"Tasman","Catchment","Catchment|Upland"
"1000004","NH4","Upland","All","0.002",1,"Tasman","Catchment","Catchment|Upland"
"1000004","TON","Upland","All","0.037",2,"Tasman","Catchment","Catchment|Upland"
"1000004","TN","Upland","All","0.106",2,"Tasman","Catchment","Catchment|Upland"
"1000004","DRP","Upland","All","0.001",1,"Tasman","Catchment","Catchment|Upland"
"1000004","TP","Upland","All","0.005",1,"Tasman","Catchment","Catchment|Upland"
"1000004","ECOLI","Upland","All","35",2,"Tasman","Catchment","Catchment|Upland"
"1000004","BDISC","All","Forest","3.04",2,"Tasman","Catchment","Catchment|Forest"
"1000004","TURB","All","Forest","1.18",2,"Tasman","Catchment","Catchment|Forest"
"1000004","NH4","All","Forest","0.002",1,"Tasman","Catchment","Catchment|Forest"
"1000004","TON","All","Forest","0.037",2,"Tasman","Catchment","Catchment|Forest"
"1000004","TN","All","Forest","0.106",1,"Tasman","Catchment","Catchment|Forest"
"1000004","DRP","All","Forest","0.001",1,"Tasman","Catchment","Catchment|Forest"
"1000004","TP","All","Forest","0.005",1,"Tasman","Catchment","Catchment|Forest"
"1000004","ECOLI","All","Forest","35",2,"Tasman","Catchment","Catchment|Forest"
"1000004","BDISC","Upland","Forest","3.04",2,"Tasman","Catchment","Catchment|Upland|Forest"
"1000004","TURB","Upland","Forest","1.18",2,"Tasman","Catchment","Catchment|Upland|Forest"
"1000004","NH4","Upland","Forest","0.002",1,"Tasman","Catchment","Catchment|Upland|Forest"
"1000004","TON","Upland","Forest","0.037",2,"Tasman","Catchment","Catchment|Upland|Forest"
"1000004","TN","Upland","Forest","0.106",2,"Tasman","Catchment","Catchment|Upland|Forest"
"1000004","DRP","Upland","Forest","0.001",1,"Tasman","Catchment","Catchment|Upland|Forest"
"1000004","TP","Upland","Forest","0.005",1,"Tasman","Catchment","Catchment|Upland|Forest"
"1000004","ECOLI","Upland","Forest","35",3,"Tasman","Catchment","Catchment|Upland|Forest"
"1000005","BDISC","All","All","1.58",3,"West Coast","Catchment","Catchment|All"
"1000005","TURB","All","All","2.49",3,"West Coast","Catchment","Catchment|All"
"1000005","NH4","All","All","0.005",1,"West Coast","Catchment","Catchment|All"
"1000005","TON","All","All","0.07",2,"West Coast","Catchment","Catchment|All"
"1000005","TN","All","All","0.24",2,"West Coast","Catchment","Catchment|All"
"1000005","DRP","All","All","0.002",1,"West Coast","Catchment","Catchment|All"
"1000005","TP","All","All","0.0075",1,"West Coast","Catchment","Catchment|All"
"1000005","ECOLI","All","All","30",1,"West Coast","Catchment","Catchment|All"
"1000005","BDISC","Upland","All","1.29",4,"West Coast","Catchment","Catchment|Upland"
"1000005","TURB","Upland","All","6.8",4,"West Coast","Catchment","Catchment|Upland"
"1000005","NH4","Upland","All","0.009",3,"West Coast","Catchment","Catchment|Upland"
"1000005","TN","Upland","All","0.46",3,"West Coast","Catchment","Catchment|Upland"
"1000005","DRP","Upland","All","0.004",2,"West Coast","Catchment","Catchment|Upland"
"1000005","TP","Upland","All","0.015",3,"West Coast","Catchment","Catchment|Upland"
"1000005","ECOLI","Upland","All","180",4,"West Coast","Catchment","Catchment|Upland"
"1000005","BDISC","Lowland","All","2.71",2,"West Coast","Catchment","Catchment|Lowland"
"1000005","TURB","Lowland","All","1.62",2,"West Coast","Catchment","Catchment|Lowland"
"1000005","NH4","Lowland","All","0.004",1,"West Coast","Catchment","Catchment|Lowland"
"1000005","TON","Lowland","All","0.07",1,"West Coast","Catchment","Catchment|Lowland"
"1000005","TN","Lowland","All","0.1985",1,"West Coast","Catchment","Catchment|Lowland"
"1000005","DRP","Lowland","All","0.002",1,"West Coast","Catchment","Catchment|Lowland"
"1000005","TP","Lowland","All","0.0068",1,"West Coast","Catchment","Catchment|Lowland"
"1000005","ECOLI","Lowland","All","23",1,"West Coast","Catchment","Catchment|Lowland"
"1000005","BDISC","All","Rural","1.29",3,"West Coast","Catchment","Catchment|Rural"
"1000005","TURB","All","Rural","6.8",4,"West Coast","Catchment","Catchment|Rural"
"1000005","NH4","All","Rural","0.009",3,"West Coast","Catchment","Catchment|Rural"
"1000005","TN","All","Rural","0.46",2,"West Coast","Catchment","Catchment|Rural"
"1000005","DRP","All","Rural","0.004",1,"West Coast","Catchment","Catchment|Rural"
"1000005","TP","All","Rural","0.015",2,"West Coast","Catchment","Catchment|Rural"
"1000005","ECOLI","All","Rural","180",3,"West Coast","Catchment","Catchment|Rural"
"1000005","BDISC","All","Forest","2.71",3,"West Coast","Catchment","Catchment|Forest"
"1000005","TURB","All","Forest","1.62",3,"West Coast","Catchment","Catchment|Forest"
"1000005","NH4","All","Forest","0.004",1,"West Coast","Catchment","Catchment|Forest"
